"Convention","StartDate","EndDate","Attendees","Venues"
"International Vision Expo West 2019","9/19/2019","9/21/2019","12500","Sands Expo & Convention Center"
"Packaging Machinery Manufacturers Institute, Inc. (PMMI) - 2019 Pack Expo Las Vegas","9/23/2019","9/25/2019","45000","Las Vegas Convention Center"
"National Nurses In Business Association - Entrepreneurship & Career Alternatives Conference","9/27/2019","9/29/2019","375","Flamingo Las Vegas"
"Commercial UAV Expo 2019","9/30/2019","10/2/2019","500","Westgate Las Vegas Resort & Casino"
"Cannabis Networth - 2019 World Cannabis Summit","10/2/2019","10/4/2019","1500","Planet Hollywood Resort & Casino"
"Las Vegas Souvenir & Resort Gift Show - 2019","10/2/2019","10/5/2019","6000","Westgate Las Vegas Resort & Casino"
"Expo Incorporated - MEI 2019 Mining Exploration International","10/3/2019","10/4/2019","1800","Las Vegas Convention Center"
"American Association of Healthcare Administrative Management (AAHAM) - Annual National Institute Meeting 2019","10/6/2019","10/12/2019","300","Caesars Palace"
"Pubcon 2019","10/8/2019","10/9/2019","2000","Las Vegas Convention Center"
"Mecum Collector Car Auctions 2019","10/10/2019","10/12/2019","15000","Las Vegas Convention Center"
"Splash! - International Carwash Association","10/10/2019","10/11/2019","300","The Mirage Hotel & Casino"
"Big Boys Toys Expo 2019","10/11/2019","10/13/2019","7000","Las Vegas Convention Center"
"American Staffing Association - Staffing World 2019 Annual Meeting","10/12/2019","10/18/2019","1600","MGM Grand Hotel and Casino"
"G2E: Global Gaming Expo 2019","10/15/2019","10/17/2019","26000","Sands Expo & Convention Center"
"SupplySide West Trade Show & Conference 2019","10/15/2019","10/19/2019","16000","Mandalay Bay Convention Center, Resort and Casino"
"Wedding MBA Convention 2019","10/15/2019","10/16/2019","3000","Las Vegas Convention Center"
"Design-Build Conference and Expo 2019","10/20/2019","10/26/2019","1600","Caesars Palace"
"National Business Aviation Association, Inc. (NBAA) - 2019 Annual Meeting & Convention","10/22/2019","10/24/2019","25000","Las Vegas Convention Center"
"ABC Kids Expo 2019","10/23/2019","10/25/2019","7000","Las Vegas Convention Center"
"Association of International Certified Public Accountants - AICPA Auto Dealers 2019","10/25/2019","10/31/2019","380","Caesars Palace"
"Empire Medical Training - October 2019 Training Seminar","10/25/2019","10/29/2019","100","The Platinum Hotel"
"Model Agreements & Guidelines International - Clinical Research Conference 2019W","10/27/2019","10/30/2019","600","Planet Hollywood Resort & Casino"
"Bobit Business Media - Fleet Safety Conference 2019","10/28/2019","10/30/2019","1800","M Resort Spa & Casino"
"20th Annual LGBTQ Tourism Forum","11/3/2019","11/5/2019","125","Vdara Hotel & Spa"
"Technology Tools for Today - 2019 T3 Enterprise Conference","11/4/2019","11/6/2019","201","The Cosmopolitan of Las Vegas"
"The Money Show - TradersEXPO Las Vegas 2019","11/7/2019","11/9/2019","2800","Paris Las Vegas"
"Recreation Vehicle Dealers Association - 2019 Convention/Expo","11/11/2019","11/15/2019","1350","Caesars Palace"
"Tableau Software, Inc. - Conference 2019","11/12/2019","11/15/2019","21000","Mandalay Bay Convention Center, Resort and Casino"
"NXT Events Media Group LLC - Growing Innovations","11/13/2019","11/14/2019","1500","Las Vegas Convention Center"
"Autodesk, Inc. - University (AU) 2019","11/19/2019","11/21/2019","12000","The Venetian Resort Hotel Casino"
"ISSA Show North America 2019","11/19/2019","11/21/2019","17000","Las Vegas Convention Center"
"Live Design International 2019","11/22/2019","11/24/2019","14000","Las Vegas Convention Center"
"IAEE Expo! Expo! 2019","12/3/2019","12/5/2019","2500","Mandalay Bay Convention Center, Resort and Casino"
"National Ground Water Association (NGWA) Expo & Annual Meeting 2019","12/4/2019","12/5/2019","4500","Las Vegas Convention Center"
"The Irrigation Association - 2019 Irrigation Show & Education Conference","12/4/2019","12/5/2019","5000","Las Vegas Convention Center"
"National Marijuana Business Conference 2019 - Anne Holland Ventures, Inc.","12/11/2019","12/13/2019","26000","Las Vegas Convention Center"
"American Academy of Anti-Aging Medicine - 27th Annual World Congress on Anti-Aging","12/13/2019","12/15/2019","1000","The Venetian Resort Hotel Casino"
"Consumer Technology Association (CTA) - CES 2020","1/7/2020","1/10/2020","180000","Las Vegas Convention Center"
"Travel Goods Show 2020","1/11/2020","1/18/2020","3500","Las Vegas Convention Center"
"Promotional Products Association International - PPAI Expo 2020","1/12/2020","1/16/2020","22500","Mandalay Bay Convention Center, Resort and Casino"
"International Builders Show 2020","1/21/2020","1/23/2020","60000","Las Vegas Convention Center"
"Kitchen and Bath Industry Show 2020","1/21/2020","1/23/2020","33000","Las Vegas Convention Center"
"Shooting, Hunting & Outdoor Trade Show (SHOT Show) - 2020","1/21/2020","1/24/2020","61000","Sands Expo & Convention Center"
"Las Vegas Market - Winter 2020","1/26/2020","1/30/2020","50000","World Market Center"
"World of Concrete 2020","2/4/2020","2/7/2020","60000","Las Vegas Convention Center"
"National Automobile Dealers Association Annual Winter National Convention 2020","2/15/2020","2/17/2020","30000","Las Vegas Convention Center"
"Vacuum Dealers Trade Association 2020","2/16/2020","2/18/2020","2600","Las Vegas Convention Center"
"American Frozen Food Institute AFFI-Con 2020","2/28/2020","3/3/2020","1000","The Cosmopolitan of Las Vegas"
"ConExpo-Con/Agg 2020","3/10/2020","3/14/2020","129000","Las Vegas Convention Center"
